ST001D01T,MATHPREF,MATHEASE,MATHMOT,MATHEFF,MATHEF21,MATHPERS,PV1MATH
Grade 10,,,,,,,488.808
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.47,-2.204,-0.3265,514.713
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,-2.1763,-0.5145,-0.304,275.028
Grade 10,,,,,-1.3542,2.7988,398.769
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,2.2736,2.164,0.865,655.293
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.111,0.7528,0.0464,620.738
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5171,0.1662,-0.4488,479.367
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1522,-0.5649,0.3806,539.843
Grade 10,,,,,,,417.24
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.6297,-0.5534,2.0741,445.689
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4966,0.1142,-0.0092,489.868
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.7266,-0.3121,0.6644,443.685
Grade 9,,,,,,,450.193
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.0143,-0.6347,-0.0168,582.926
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1365,0.743,2.3784,564.077
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.3003,0.7137,0.6409,434.957
Grade 10,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0252,0.7521,2.2849,593.015
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5867,1.0062,0.2144,552.717
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.8272,-1.2587,-0.8032,446.617
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0252,0.6776,0.5435,470.375
Grade 11,,,,,,,475.628
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.589,1.2053,0.0833,768.988
Grade 10,,,,,,,474.163
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4723,-1.2623,-2.6656,545.92
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,-0.2453,0.7077,1.7456,608.728
Grade 11,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.4262,0.3549,0.9945,584.487
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.3378,0.2173,-0.0877,533.238
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,2.0411,2.4081,-1.0404,596.537
Grade 10,,,,,,,391.797
Grade 9,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.4254,0.1221,-0.6123,390.309
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.438,0.4578,0.8396,509.835
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.3847,-2.0999,-0.3824,370.121
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,1.2596,1.6586,0.5603,520.85
Grade 11,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,-0.5522,-1.0728,0.9277,552.3
Grade 9,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.7629,-0.0439,0.5181,454.67
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.5095,0.0367,-1.4761,436.75
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9876,-0.3052,-0.4568,389.64
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9866,0.7063,0.0248,334.923
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,1.3313,1.7092,1.7662,517.888
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.2419,1.305,-0.5652,284.042
Grade 10,,,,,,,394.17
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6962,0.8171,-0.0885,405.488
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.6031,0.69,-0.7399,535.342
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1867,0.738,-0.0618,388.634
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6298,-0.1023,1.7382,477.43
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1866,-2.1762,-0.343,351.868
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.8233,0.8909,1.107,562.002
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.0158,0.6496,0.2568,383.718
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,2.1166,0.4884,-0.1458,715.43
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4901,-0.0682,1.2427,324.608
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.2388,0.6881,0.5845,617.612
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.092,-0.4737,0.1912,509.342
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6498,-2.0175,-0.2599,332.879
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.2638,-0.5362,2.1756,188.352
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2274,0.2455,-0.0562,568.88
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4597,-0.8494,-0.0619,408.246
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.6795,1.0369,2.8342,575.625
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.191,0.6226,0.6952,643.062
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5394,0.1891,-0.5691,554.643
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.6241,1.2122,1.0031,360.817
Grade 9,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5171,1.4901,0.4006,385.954
Grade 10,,,,,,,595.54
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4345,-0.401,-0.8006,541.517
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0064,-0.0446,0.267,469.1
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0051,0.8063,0.6519,501.171
Grade 10,,,,,,,333.452
Grade 10,,,,,,,446.845
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2055,0.5322,2.0231,481.492
Grade 10,,,,,,,341.669
Grade 10,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.3549,-0.3589,1.7615,379.151
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.4883,0.9516,-0.1283,431.02
Grade 10,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.8238,-0.999,-0.0721,447.832
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4957,0.4427,0.3445,436.953
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2675,-0.0703,-0.2626,535.305
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9344,-0.215,-2.6111,486.687
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.7959,0.7333,-0.4987,355.48
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.0866,-0.3143,-0.657,443.621
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.6943,-0.3278,0.4213,449.101
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2689,-0.8522,1.1391,519.957
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5345,0.4009,-0.993,528.591
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.882,0.2881,-0.7746,423.461
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0646,0.6414,-0.0043,423.906
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9039,0.0096,0.043,542.635
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.8136,0.7448,0.8185,408.751
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.4378,0.413,1.0139,631.265
Grade 10,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.3451,0.3587,0.253,546.403
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.1153,0.3483,1.7587,520.112
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.47,-2.3234,-1.0336,384.919
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.3771,-2.1248,0.1263,244.589
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5522,0.4162,0.115,510.864
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9062,-0.0564,-0.2445,425.322
Grade 10,,,,,,,281.928
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.8737,0.2983,-0.5302,386.77
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6766,-1.1694,-0.3951,388.194
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4552,-0.5566,1.1344,527.61
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.1637,0.9477,0.0729,460.717
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.342,-2.1696,-0.6709,357.776
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2784,0.6058,-0.5414,467.772
Grade 10,,,,,,,345.729
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1914,0.6973,0.3442,406.304
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.4449,-0.1747,-0.1097,475.703
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,-0.8801,-0.6284,-2.4586,454.039
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.6361,-1.7104,-0.4936,526.347
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.3895,0.5087,0.0953,415.273
Grade 10,,,,,,,430.12
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.3973,0.4582,0.9877,551.857
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.2575,-0.547,-0.7064,334.315
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9181,-0.3512,0.3481,416.764
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.6361,0.3043,-0.5431,349.779
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2233,0.9345,0.1716,525.748
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.6297,-1.5111,1.0916,465.124
Grade 11,,,,1.0061,1.7219,-0.1082,541.689
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2055,-0.4751,2.0409,674.89
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.262,-0.0523,-0.2391,428.927
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.3227,-0.5915,0.6007,352.256
Grade 9,,,,,,,327.747
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4155,-0.0607,-0.1483,538.673
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5808,-0.2604,0.1435,490.207
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.2233,-0.2587,-0.5435,390.688
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.625,-0.1902,1.0039,487.478
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1652,0.6868,0.1629,523.172
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.399,-0.6042,-0.5427,385.482
Grade 10,,,,,,,405.315
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9649,0.1323,-0.0311,421.218
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2706,0.713,1.0017,560.644
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.191,0.1656,0.144,454.146
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.7735,0.2719,-0.2973,325.047
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.2882,-0.5647,-0.5127,421.186
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.3127,-0.626,-0.0759,413.814
Grade 10,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,1.1324,1.2366,0.7355,489.314
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6106,0.5168,0.0064,439.495
Grade 11,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.5882,-0.2276,0.9821,534.557
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1965,0.47,0.2985,474.445
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.6648,-0.0769,-0.736,434.197
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.986,-0.3061,0.3523,444.696
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9892,-0.7643,0.2671,561.97
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.5211,-2.2126,-2.8199,473.532
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.7139,0.3472,-0.0833,441.636
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.2706,1.2936,2.016,500.192
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.3009,1.77,-0.6798,526.984
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2689,0.02,-0.7058,571.492
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.8679,-0.0994,-1.6586,610.398
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2846,0.2643,-0.2316,479.489
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.3173,0.4162,0.2837,545.637
Grade 11,,,,,,,362.844
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1932,0.0891,0.6216,649.411
Grade 10,,,,,,,427.905
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.2086,-0.6249,-0.0084,321.706
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,0.31,0.6496,-0.0871,624.411
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,1.9612,1.6152,-0.3776,407.228
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.302,0.7208,-0.2236,557.562
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.4581,-2.4882,-2.9076,384.763
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4723,-0.724,-0.0624,541.326
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,-0.5366,0.3388,0.5077,438.647
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,0.1188,0.5768,0.7437,352.354
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1762,0.7466,0.2619,408.09
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9328,-0.6404,-0.082,482.861
Grade 11,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.5353,-1.4135,0.1192,412.494
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4295,0.519,-2.8505,557.141
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9647,-0.534,0.0074,396.572
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6962,0.2405,0.3652,490.302
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4638,0.5677,0.2545,427.278
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,1.2615,0.333,-0.011,655.516
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.056,-0.6442,1.1818,477.622
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.8209,0.4527,-0.4709,498.515
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.3717,0.7314,1.8269,355.437
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.9577,-0.8482,0.9968,475.333
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.413,0.1926,0.1959,413.318
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.4844,0.1928,-0.1338,629.415
Grade 11,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.3593,0.3512,0.3386,508.415
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.6136,1.3177,1.0525,554.356
Grade 10,,,,-1.3599,,,328.248
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.1325,-0.7046,-0.3309,349.95
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.4543,-0.5858,-0.0946,443.745
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0759,0.656,0.3074,500.645
Grade 10,,,,,,,306.076
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.0268,2.1518,1.7662,477.411
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6889,-0.066,0.1187,511.535
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6346,-0.4179,0.4896,474.553
Grade 10,Preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.2899,0.589,-0.1699,625.461
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.7117,0.7766,0.2308,392.118
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0813,0.7528,0.0931,349.385
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.0388,-0.0704,,467.216
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.0457,0.7442,0.4518,275.995
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.051,1.135,0.5729,518.43
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.0813,-2.111,0.2717,456.002
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-3.4724,-1.1577,-1.9019,362.481
Grade 11,,,,,,,468.318
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.5481,1.8636,1.0982,601.476
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.2844,0.9085,0.4582,558.141
Grade 11,,,,,,,542.848
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,0.1102,0.5787,,479.23
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.1695,0.3668,1.8856,479.283
Grade 10,Preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,More motivated to do well in mathematics than other subjects,-0.3245,-0.0247,-0.0166,538.108
Grade 10,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-1.214,-0.6217,-0.8177,492.568
Grade 10,No preference for mathematics over other subjects,Perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.502,0.1046,,412.669
Grade 9,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.6254,0.6667,-0.8221,372.981
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,,,,413.147
Grade 11,No preference for mathematics over other subjects,No perception of mathematics as easier than other subjects,Not more motivated to do well in mathematics than other subjects,-0.0292,0.7448,-0.2438,404.079
Grade 11,,,,,,,621.792
